,Learning Rate,Epoch,Train Loss,Val mIoU,Test mIoU
0,0.0001,0,1.3123124837875366,0.2577452917547766,0.25724139103305654
1,0.0001,1,0.11788232624530792,0.4997560304941512,0.49984515409045976
2,0.0001,2,0.006448547355830669,0.49989875371857495,0.4999692281162514
3,0.0001,3,0.004796752706170082,0.5058565989318963,0.5080359966406855
4,0.0001,4,0.0033627015072852373,0.5239631459541128,0.5371065150364026
5,0.0001,5,0.002674819901585579,0.5628284330997717,0.5866975204907259
6,0.0001,6,0.002376068150624633,0.581379034696294,0.6079332116384364
7,0.0001,7,0.00208621216006577,0.6053863046652648,0.6349350397863637
8,0.0001,8,0.0018961334135383368,0.6093543843791489,0.643235015713409
9,0.0001,9,0.0017992935609072447,0.6395443400373744,0.6672158132711318
10,0.0001,11,0.001640991191379726,0.6494409839041188,0.6809477126084463
11,0.0001,12,0.0015078582800924778,0.6678540628677763,0.6963989404829638
12,0.0001,13,0.0014719772152602673,0.6704111103245218,0.6956459599145788
13,0.0001,14,0.001439300482161343,0.6751622336001191,0.7046495645036093
14,0.0001,15,0.0013866195222362876,0.6780228423037535,0.7044883820440808
15,0.0001,17,0.001337356516160071,0.6803806513012198,0.714357270096932
16,0.0001,18,0.001315605128183961,0.6938501861849287,0.7238054781630852
17,0.0001,19,0.0012520751915872097,0.7048759137517028,0.7295924628711656
18,0.0001,23,0.0011423759860917926,0.7061407214061814,0.7263786665849873
19,0.0001,25,0.0011310348054394126,0.7144724825888437,0.7429968730681231
20,0.0001,26,0.0010521468939259648,0.7157721875962231,0.7289875516708627
21,0.0001,28,0.0010407714871689677,0.7204373180244268,0.7525658238886572
22,0.0001,33,0.0009576492593623698,0.7271305836121845,0.7527863284997095
23,0.0001,34,0.000957511889282614,0.73053001837512,0.7551369564818888
24,0.0001,38,0.0009079399169422686,0.7319663298657747,0.7594777089045116
25,0.0001,40,0.0008660583407618105,0.7324767324908203,0.7570659653703131
26,0.0001,41,0.0008853988838382065,0.7341276758441356,0.764412305958401
27,0.0001,42,0.0008614578400738537,0.7349968806712541,0.7619131872099876
28,0.0001,46,0.0008565292228013277,0.7364781375355252,0.7665267154353337
29,0.0001,47,0.0008455314673483372,0.7368241237759903,0.7632426268034986
30,0.0001,49,0.0008458137745037675,0.737124099949376,0.7652048314519027
31,0.0002,0,1.2641562223434448,0.25216356975439336,0.2525007307138563
32,0.0002,1,0.063620425760746,0.4997560304941512,0.49984515409045976
33,0.0002,2,0.005452392622828484,0.5005716676507802,0.5006692615888523
34,0.0002,3,0.003592803841456771,0.5159363808660739,0.5235894260913663
35,0.0002,4,0.0026533356867730618,0.5231283663461738,0.5307806134180939
36,0.0002,5,0.002184951677918434,0.5375550482932038,0.5515005190951865
37,0.0002,6,0.001911697443574667,0.6245161415851863,0.6523588232389149
38,0.0002,7,0.0016721343854442239,0.6387913755378524,0.6652002418839796
39,0.0002,8,0.0015479812864214182,0.6552353677948888,0.6846396269505632
40,0.0002,9,0.0015157012967392802,0.6647678612190469,0.6882662075814032
41,0.0002,11,0.001369743375107646,0.6778994739043551,0.7006704990355129
42,0.0002,12,0.001324905431829393,0.6812955292392173,0.7054633228462386
43,0.0002,13,0.0012884140014648438,0.6950611464619855,0.7198636820674787
44,0.0002,16,0.0012065734481438994,0.7044329266700574,0.7170884159603321
45,0.0002,17,0.0011432418832555413,0.7054440635132538,0.7282866901383086
46,0.0002,19,0.0011009139707311988,0.7102463950896475,0.7281612409278997
