,Learning Rate,Epoch,Train Loss,Val mIoU,Test mIoU
0,1e-05,0,1.3387812376022339,0.30564502466967214,0.301461091322822
1,1e-05,1,0.9210625290870667,0.4314647171498568,0.43889699930554027
2,1e-05,2,0.3961718678474426,0.6617427998567613,0.695436437171063
3,1e-05,3,0.17955273389816284,0.7566798197350719,0.8145553764689759
4,1e-05,5,0.0988789051771164,0.7695290132970953,0.831085684824638
5,1e-05,6,0.08246679604053497,0.7950881325337634,0.8515027502008444
6,1e-05,8,0.0587778314948082,0.8297407363021722,0.8712791936402071
7,1e-05,10,0.049324218183755875,0.8440132164139006,0.8855930031973795
8,1e-05,12,0.04269653186202049,0.9119522943138185,0.9151497085163269
9,1e-05,14,0.04020043835043907,0.9213320357288872,0.9211051102771988
10,1e-05,31,0.027632812038064003,0.9443744912731601,0.9354998912063162
11,5e-05,0,1.2572187185287476,0.2963900387917485,0.2920458373024862
12,5e-05,1,0.4139414131641388,0.7507900870398803,0.7640027588230074
13,5e-05,2,0.11809472739696503,0.7852964243733327,0.805415491952501
14,5e-05,3,0.0837709978222847,0.8018066255931723,0.8402622322205912
15,5e-05,5,0.04810473695397377,0.8907154413430736,0.9210458084799552
16,5e-05,8,0.03518591448664665,0.9039928047106369,0.9235990926231488
17,5e-05,9,0.034171998500823975,0.9366171476804674,0.93397664708888
18,5e-05,13,0.03091992251574993,0.940229745576518,0.9410227466893433
19,5e-05,16,0.026816895231604576,0.9542822362241097,0.9412634536919263
20,5e-05,23,0.02258862368762493,0.9560332990192183,0.9425034094488314
21,5e-05,32,0.01880224607884884,0.9589688192918491,0.9437057894451348
22,5e-05,39,0.01799572817981243,0.9639126559625515,0.947081222169309
23,8e-05,0,1.3128437995910645,0.29259661758764227,0.2886700977285376
24,8e-05,1,0.3234550654888153,0.7469853805483728,0.7614451501378865
25,8e-05,2,0.09652490168809891,0.8356989383498536,0.8555841944422902
26,8e-05,3,0.06542431563138962,0.873593662452754,0.9037819019141595
27,8e-05,5,0.04365624859929085,0.9420433895667379,0.9371770502739938
28,8e-05,10,0.028357909992337227,0.9438663483128684,0.9335168817231017
29,8e-05,16,0.026111816987395287,0.9470741352130897,0.9364386097530508
30,8e-05,17,0.023847777396440506,0.9557124019868595,0.9411088572673518
31,8e-05,23,0.02207604981958866,0.9604696577448486,0.9443255231854737
32,8e-05,33,0.018025267869234085,0.9626970452913797,0.9476255490673662
33,8e-05,42,0.016253052279353142,0.9638531177089005,0.9487198464518394
34,0.0001,0,1.2250312566757202,0.3051239542627824,0.30175607240507063
35,0.0001,1,0.2987402379512787,0.7591303529408899,0.7983825787524033
36,0.0001,2,0.08206640928983688,0.800755171657582,0.8598879902778993
37,0.0001,3,0.057976074516773224,0.8392662219573184,0.8920217812174833
38,0.0001,5,0.04432617127895355,0.8436059137387045,0.8931768464625713
39,0.0001,6,0.03888915851712227,0.8801808380434681,0.9098599472284163
40,0.0001,9,0.02982177771627903,0.8828591626318484,0.9192675453457688
41,0.0001,11,0.028855713084340096,0.9206770446196642,0.9307403490463162
42,0.0001,12,0.029359741136431694,0.9350756766732239,0.9339444272703026
43,0.0001,13,0.02658270299434662,0.9437461725681711,0.9345604833699882
44,0.0001,28,0.02060534618794918,0.9503746872861787,0.944799991025661
45,0.0001,30,0.018444152548909187,0.9553248383074944,0.9414733838864144
46,0.0001,35,0.016422485932707787,0.9557864610596994,0.9421830065091574
47,0.0001,36,0.01687152124941349,0.9608095553777773,0.9474064792650989
48,0.0002,0,1.2995938062667847,0.3017338791982299,0.29711897948670213
49,0.0002,1,0.22750341892242432,0.8319534219304882,0.8813792976206811
50,0.0002,2,0.0686040073633194,0.8554059010304036,0.8847379813407608
51,0.0002,7,0.033350829035043716,0.9055032307034772,0.9264241234240849
52,0.0002,8,0.02953149378299713,0.9475796891743613,0.9440247036705234
53,0.0002,15,0.022823607549071312,0.9604074571810579,0.9508717435944931
54,0.0002,19,0.020954467356204987,0.9615682944647543,0.948778789858207
55,0.0002,27,0.018897460773587227,0.962765265292054,0.9512710711743917
56,0.0002,38,0.015005615539848804,0.9636134276620577,0.9509868698504639
57,0.0002,46,0.014179626479744911,0.9644035732734715,0.9496539235584908
58,0.0005,0,1.3330625295639038,0.2934214644874434,0.2885074300794951
59,0.0005,1,0.16617700457572937,0.9012558244851822,0.9209285692426277
60,0.0005,2,0.06298144161701202,0.9298847660758491,0.932996910352176
61,0.0005,8,0.036280762404203415,0.946210207838375,0.9356453044670167
62,0.0005,11,0.030426025390625,0.9480842368295725,0.9322095594824553
63,0.0005,13,0.028244629502296448,0.9591834412552838,0.9412997436485009
64,0.0005,15,0.027885742485523224,0.9603281108328254,0.9450962493117478
65,0.0005,23,0.022074585780501366,0.9649076061274497,0.9508005817525056
66,0.0005,39,0.015172119252383709,0.9656397840305004,0.9519617049407583
67,0.001,0,1.4430625438690186,0.28130972475442406,0.2757947857160728
68,0.001,1,0.15151123702526093,0.8340883745303815,0.8767744289662417
69,0.001,2,0.06745068728923798,0.8692171254838708,0.9011071415077698
70,0.001,3,0.05156005918979645,0.9088706900586303,0.9259459983371843
