,Learning Rate,Lambda Value,Epoch,Train Loss,Val mIoU,Test mIoU
94,0.0001,0.2,9,0.2034570276737213,0.875027607707465,0.9078328237519038
95,0.0001,0.2,17,0.19457422196865082,0.9368135699151378,0.9273215282617817
96,0.0001,0.2,21,0.19150781631469727,0.96258201637511,0.94187025704791
97,0.0001,0.5,0,1.339593768119812,0.29005720454737516,0.2850683369440079
98,0.0001,0.5,1,0.4810468852519989,0.49916745881296953,0.5101874881961115
99,0.0001,0.5,4,0.30045703053474426,0.5098511485960536,0.5383499244868993
100,0.0001,0.5,5,0.2953242063522339,0.5419426359723054,0.5765558389763128
101,0.0001,0.5,7,0.28641796112060547,0.5501124511303797,0.5685249050378044
102,0.0001,0.5,8,0.28078123927116394,0.5508965886174917,0.5804058137375251
103,0.0001,0.5,10,0.2748320400714874,0.5648892237895551,0.5812154330891847
104,0.0001,0.5,11,0.27232420444488525,0.6165997915287582,0.6328119946612946
105,0.0001,0.5,17,0.2656601667404175,0.6304984398159961,0.6526622545089282
106,0.0001,0.5,18,0.2645038962364197,0.6855605186559868,0.7002033651004309
107,0.0001,0.5,26,0.25327733159065247,0.7084334240826957,0.7318026136417066
108,0.0001,0.5,29,0.25068750977516174,0.737339321022718,0.7433886155775817
109,0.0001,0.8,0,1.3019062280654907,0.3033978746693321,0.2990025500394532
110,0.0001,0.8,1,0.42209765315055847,0.6124889849398456,0.6442568029324557
111,0.0001,0.8,2,0.25902149081230164,0.7651049115217026,0.8274163413925113
112,0.0001,0.8,6,0.2132539004087448,0.8445510530758358,0.8956718356512651
113,0.0001,0.8,7,0.20904101431369781,0.8906389540234999,0.9037993829321116
114,0.0001,0.8,8,0.2072441428899765,0.8981715267367907,0.9246195641318402
115,0.0001,0.8,15,0.19910937547683716,0.9220068994769648,0.9261009491743477
116,0.0001,0.8,23,0.1892382800579071,0.9367153732439397,0.9374658070656499
117,0.0001,0.8,35,0.1860937476158142,0.9437988395457928,0.9066194841105476
118,0.0001,0.8,44,0.18242187798023224,0.9481629416154396,0.9218649339414441
119,0.0002,0.2,0,1.3020312786102295,0.2968689316875392,0.2914146744742428
120,0.0002,0.2,1,0.3580390512943268,0.6477459199291936,0.6696996940082289
121,0.0002,0.2,2,0.24376952648162842,0.6488933063347203,0.6785071624026763
122,0.0002,0.2,4,0.2173144519329071,0.82766212962101,0.8696288190294115
123,0.0002,0.2,7,0.20649413764476776,0.913595128808649,0.9327073952707139
124,0.0002,0.2,9,0.20035937428474426,0.9321445660863017,0.9356210422777762
125,0.0002,0.2,15,0.19341601431369781,0.9404499024932625,0.9409016339133144
126,0.0002,0.2,21,0.18764062225818634,0.9547807361673992,0.946969158955132
