,Learning Rate,Epoch,Train Loss,Val mIoU certain,Test mIoU certain,Val mIoU combined,Test mIoU combined
39,0.0005,0,1.3595000505447388,0.23513228504053518,0.23503956585015814,0.2351690114085151,0.23505197365608962
40,0.0005,1,0.03636573627591133,0.4997997737247988,0.4998603221774573,0.4997560304941512,0.49984515409045976
41,0.0005,2,0.0026072997134178877,0.49991320701756997,0.4999774466977082,0.49986077801496187,0.49995080846004747
42,0.0005,3,0.0017619476420804858,0.524182018554621,0.5307886814774383,0.5222373527332204,0.5291103878270732
43,0.0005,4,0.0013150176964700222,0.5396409705838516,0.5569303066322316,0.5356652049748323,0.5537648651289669
44,0.0005,5,0.0010975112672895193,0.5886719136027603,0.6180901100273509,0.5822241630992862,0.6135436266283122
45,0.0005,6,0.0010028458200395107,0.6243840471872455,0.656976841098278,0.6208851722840014,0.6535458331451318
46,0.0005,9,0.0008471546461805701,0.6654274354616807,0.6957144366431383,0.6639624161888857,0.6937880195941188
47,0.0005,12,0.0007586517604067922,0.676020982336065,0.716636191116124,0.6760110166483866,0.7154965589463484
48,0.0005,14,0.0007154960767365992,0.6828511797562206,0.7242333316416486,0.6784873751579128,0.7195996026324997
49,0.0005,15,0.0006971778930164874,0.6908681373086863,0.7348327495920604,0.6949582659755685,0.732969470468102
50,0.0005,21,0.0006211280706338584,0.6964671112580382,0.7416758345192391,0.6954370136803225,0.7366295121063536
51,0.0005,22,0.0006153946160338819,0.6984091914218364,0.7427000478576707,0.7016703293132324,0.7399682257275061
52,0.0005,25,0.0005943718133494258,0.7159817702364079,0.7503432124022505,0.7184378516444863,0.7487786027931731
53,0.0005,32,0.000524909992236644,0.7177140736603453,0.7540501458952541,0.7206533211681612,0.7526064559299557
54,0.0005,33,0.0005230760434642434,0.715704203848867,0.7571248184621908,0.7208743295595915,0.756846229362388
55,0.0005,40,0.000466999044874683,0.7264436850562153,0.7620727225492194,0.7252644899477623,0.7589681077761884
56,0.0005,41,0.0004606704751495272,0.7328926241860764,0.770134513074888,0.7372201240100542,0.7700408952620733
57,0.001,0,1.239687442779541,0.26907706838198825,0.2691795224124088,0.26910752708644226,0.2691903322580901
58,0.001,1,0.0204759668558836,0.4998245378068051,0.4998908504479267,0.4997821728340187,0.4998726889301932
59,0.001,2,0.001860679592937231,0.5015297868904646,0.5019939904688895,0.5012233715666008,0.5019270126830658
60,0.001,3,0.0012816314119845629,0.5802661207701705,0.6042507197631434,0.576765886053178,0.6022134050786595
61,0.001,5,0.0009630565764382482,0.6011960906515872,0.6289345281140756,0.5969823085961145,0.6261244867468054
62,0.001,6,0.0008960380800999701,0.6331381745511044,0.6644073210284186,0.6250541907196687,0.66030229745752
63,0.001,8,0.000813110324088484,0.6515818785870984,0.6988946599586192,0.6470105676627437,0.6944215702647604
64,0.001,9,0.0007853069109842181,0.6622723879159096,0.7001996845663037,0.6536429027597234,0.6958809321316496
65,0.001,10,0.0007543716346845031,0.6603166492943799,0.7037339611659198,0.6538208717565982,0.699341392518323
66,0.001,11,0.0007228431641124189,0.671177637504522,0.7066858310090193,0.6692785764815313,0.7033308638791113
67,0.001,12,0.0007463035872206092,0.677455578214062,0.7129862463372485,0.6813332638358884,0.7124938313975375
68,0.001,14,0.0006602230132557452,0.6825110254407437,0.7270603184106832,0.6842396922849987,0.7253319128589901
69,0.001,16,0.0006424388848245144,0.6964155123691806,0.7367010004215365,0.6991505717180302,0.7346389055713547
70,0.001,21,0.0005913887289352715,0.7052112097833432,0.7414665221230352,0.7099104471589925,0.7398292471445331
71,0.001,26,0.0005441703833639622,0.7126773777069042,0.7429518599367868,0.7182890099977457,0.7426289095097122
72,0.001,39,0.00043246077257208526,0.714540555973828,0.7526802605589857,0.7231472128819838,0.7556353966552594
73,0.001,40,0.0004277496482245624,0.7309931862835441,0.7541544237077477,0.7242375482327399,0.7494593454685706
74,0.001,42,0.0004034442827105522,0.7351368960540652,0.7616294446860848,0.7350980075568909,0.7594252232265882
