,Learning Rate,Epoch,Train Loss,Val mIoU,Test mIoU
10,1e-05,31,0.027632812038064003,0.9443744912731601,0.9354998912063162
22,5e-05,39,0.01799572817981243,0.9639126559625515,0.947081222169309
33,8e-05,42,0.016253052279353142,0.9638531177089005,0.9487198464518394
47,0.0001,36,0.01687152124941349,0.9608095553777773,0.9474064792650989
57,0.0002,46,0.014179626479744911,0.9644035732734715,0.9496539235584908
66,0.0005,39,0.015172119252383709,0.9656397840305004,0.9519617049407583
70,0.001,3,0.05156005918979645,0.9088706900586303,0.9259459983371843
